city,hotel,rating,review,review_date,review_day,review_month,review_year
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"The lobby looks great but the hotel furnitures and fixtures in general are old and outdated. However, the staff are very friendly and helpful. Negative points for water supply and tv (need to get help to fix the hot water and tv signal). Plus points for buffet spread breakfast, great overall service and 7-ll just a minute walk away from the hotel entrance. A good location in town and it is lot along the main street.","May 11, 2025",11,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"Decided to move out from silom for a bit. Spacious and very cold room. Decent amenities, excellent pool and best value for money. 

Evening / night walk to silom is acceptable. Daytime walk is not adviseable. Grab-Bike (Win) here and there.","May 11, 2025",11,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"We really enjoyed our JCK experiences. This is a great hotel, especially for the money.  It is about the same distance from the Sukhumvit, Icon Siam, and Asiatic areas.
The Kevin has terriffic views of Bangkok, the Chao Prya river and its bridges as well, as very goood food though with this last trip, I was a bit dissappointed with the breakfast.
That said, the lobby cafe and the 37th floor bar are excellent and the food offerings were very good.
The rooms are specious, beds super comfy and the staff really care about you having the best experience possible. We will definately stay at the Kevin again soon!","May 10, 2025",10,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,房间很大，很干净，夜景很漂亮,"May 09, 2025",9,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,The hotel is very clean we stay at the most comfortable bed if you want to disconnect and have a relaxing time this is the place to stay,"May 09, 2025",9,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,Enjoyed the facilities and friendliness of staff. Had a wonderful view of the city.,"May 08, 2025",8,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"Het personeel van het hotel waren erg attent, beleefd en vriendelijk. Vooral ook de concierge die de taxi regelde en tips gaf over vervoer en locaties waar we naar toe wilden. 
Locatie is niet super centraal maar dat wisten we vooraf. Er is een 7/11 om de hoek en met de grab waren we zo met de Sathorn pier of nightmarket. Zijn tip voor de hop on hop of boat was ideaal. De familiekamer was wat verouderd maar goed schoon gemaakt. Eigenlijk is het jammer dat ze de kamers (misschien nog) niet opknappen. Ontbijt was goed. Niet bijzonder.","May 06, 2025",6,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,Amazing Skyline view on 28th Floor.,"May 06, 2025",6,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,Whatba great place.  Beautiful hotel. Very kind and pleasant staff.  Had a wonderful stay.  You won't be disappointed,"May 05, 2025",5,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,Enjoyed the stay. The rooms are huge with living room and balcony for both rooms and living room. Definitely one of my favourite spots in Bangkok.,"May 05, 2025",5,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,best place to stay in BKK for a few days,"May 05, 2025",5,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"Couldnt get a late check unless pay $150
Couldnt get room service all afternoon on friday night and saturday.
Room was old and not cleaned ver well
Old and out dated accommodation
Great staff at the level 2 resturant","May 04, 2025",4,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,best ever .....,"May 03, 2025",3,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"Large rooms, alright location (not really walkable to things but close to a 7/11 and we took grab for everything else). The hotel was affordable needs a renovation. as its pretty worn out. Lifts are extremely slow and often only 3 out of 4 would be working making it hard to get into one due to how many people are waiting. Pool area was okay, this hotel is probably more centered around family stays as opposed to just adults as the pool area was always packed with children.","May 02, 2025",2,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,"Blood stain on my bed sheet. Room is not well maintained and despite complaining and showing proof, the staff are unable to do anything. Overcharging and claimed to be a 5 star but it is not. Would like a compensation for the bedding condition","May 01, 2025",1,May,2025
Bangkok,JC KEVIN SATHORN BANGKOK HOTEL,5 stars out of 5,Its nice but not a 5 star would say its more of a 4star with good options and tasty breakfast.,"April 30, 2025",30,April,2025
