city,hotel,hotel_id,rating,review,review_date
Chennai,The Park Chennai,7947,5 stars out of 5,"Had an amazing stay. 
Thanks to Sujeeta, 
Indra and ranjit from the reception from their help","May 17, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,The staff are very friendly good rooms and amazing location,"May 17, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Ms.Sujeeta and Ms.Adithya were very helpful…thank you,"May 17, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,We love the stay over here. Sujeeta was really helpful.,"May 17, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Sujeeta was really kind and polite throughout the check in and check out process and made sure we had a hassle free Stay!,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Booked 2 rooms for my family. The place is run down and way past it's prime. Strong smell of mould in both rooms we were allocated and my daughter developed wheezing at night due to this. Very disappointed with the hotel. Used to be our go to in Chennai for a long time,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,We had an amazing stay. Thanks to sujeeta at the reception,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Good to stay,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Was a good stay. 
Mention to sujeeta coz she was very helpful","May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Had a good and memorable stay. Shout out to ms sujeeta who was very helpful,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Very good service. Very good breakfast food. The staff is very supportive. Ms. Sujeeta, Indra and raja were very helpful","May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Good business class hotel,"May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Bed is very uncomfortable, very old room, wash tub is slippery","May 16, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Totally recommend!,"May 15, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Good stay,"May 15, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Rooms are normal, exterior and the breakfast are the key differentiators","May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,The stay is comfortable.  You may ask for suitability as I felt little congested for the room I selected unknowingly. Otherwise its a legacy hotel.,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,We had a great stay . Thanks to Sujeeta and sanjib from the desk who helped us throughout the stay,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Great food and friendly staff,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Excellent,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Centrally located, nice food, good service","May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"Was good stay. 
Ms. Sujeeta was helpful at reception","May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Good luxury hotel but food can be better,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Good place,"May 14, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"We are australian citizens unfortunetly we not carry passport but we have driving licence photo id.
In frount staff & Duty manager with in 5 mins  they not allowed to cheak in.

They not give chance to another opptions like throw Email origenal photo copy then after 6 Hours  my daughter explain throw phone then they say ok 

And we request our driver extra 3rd person to stay they chearge 1350 indian Rupes i ask extra bed they not  provide eny thing like extra towal &billow.. No nothing very bad disappintment experince..

They are must train how to speak soft& calm","May 15, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,"all the amenities mentioned in agoda platform was not given to us. foe ex: i didnt got the bathrobe or self care kit. i didnt got the complimentary spa access. the room was clean, but the washroom was not good. the drainage system is not good. water clogging is there. i didnt expect this in a 5 star hotel. and the staffs didnt even carried luggage and not even escorted to the room. NOT EXPECTED THIS!!!!","May 13, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Very good,"May 13, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Don’t expect five star hotel hospitality.,"May 12, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,Very cramped rooms and a weird bathroom,"May 12, 2025"
Chennai,The Park Chennai,7947,5 stars out of 5,not a great valur for the money.,"May 12, 2025"
