city,hotel,hotel_id,rating,review,review_date
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,i will stay again at this hotel because very comfortable & easy to go anywhere,"April 30, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"We had a comfortable and family-friendly stay, with a spacious and clean room that was perfect for our young children. The hotel staff were helpful and accommodating, and we appreciated the quiet environment and convenient location near shops and restaurants. Overall, it was a pleasant and stress-free experience, and we would happily return for another stay.","April 30, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Bilik selesa, luas, sejuk. Walaupn perabot lama tp berbaloi dgn apa yg kita bayar","April 30, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Great buffet breakfast.. good location..clean..sure will comeback,"April 30, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Hotel sgt selesa,"April 30, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Nice hotel to stay, the management very polite and helpful.","April 29, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Friendly welcoming staff, clean room","April 28, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Worth the money,"April 27, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Definitely worth the price to book online.  Hotel is slightly old but well maintained. Facilities are not much as well since it's old. Staff is good. Room is clean! Bed is comfortable!,"April 26, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Breakfast need to improve,"April 26, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Overall stay is good,"April 25, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,The hotel is strategically located adjacent to the shopping mall and connected to the LRT station. The hotel bit old but still in good condition since its room look modern. Breakfast spread ok with variety of choice.,"April 25, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Staff's n location..  I got the room as per request (KLCC )
For Muslim Guests, U need to  re check the Qiblat. 
In near future, Hope the management can provide 1 or 2 Floor for smokers (We had to go down and smoking and a bit tiring for up n down). 
Also, for Qiblat signage ( need to re check with JAIWP or JAIS) and Carpet in the rooms need to wash regularly.. As for me, I can't sleep well due to my sinus ( as I was sensitive with dust). 
Lastly, need more varieties of TV  channel especially News. 
Tks. 
RM1404.","April 24, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Great accomodation,great location just across sunway putra mall..","April 23, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,ok,"April 23, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Parking so limited... Extra parking little bit far,"April 23, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,Outstanding,"April 23, 2025"
Kuala lumpur,Seri Pacific Hotel Kuala Lumpur,10422,5 stars out of 5,"Good room , food and location","April 22, 2025"
