city,hotel,rating,review
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Love this hotel
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"This hotel is amazing clean, modern and the staff is too good. Thumbs up to Novotel"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,X
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Very clean and food was excellent.Staff were friendly.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Brand new hotel close to the airport , rooms very clean at Novotel standard , check-in out fast and smooth staff very friendly and professional all around . Only minus F&B  overpriced, paid 8000 over INR for a bottle of wine marked 1600 MRP , + tax + service … definitely overpriced ."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Service was amazing in the hotel, very comfortable room, varied breakfast. Location was convenient as we had a very early flight however far from main attractions. The best was the people. A big shout out to Sneha and Rohit who made us feel so welcomed!"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Took half an hour for me to check in as i cudnt get the key physical coz they use virtual key. Cudnt get double bed as they wanted to offer 2 single bed. Dint treat me like a 5 star guest at 5 start hotle
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Clean hotel and good location
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Our stay at Novotel Andheri Mumbai was average. While the location is convenient, and the rooms were clean, the service could have been more attentive. There were some delays in response times, and the dining options were just about satisfactory. It's a decent option for a short stay, but there's definitely room for improvement in overall guest experience."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"My stay at Novotel Andheri Mumbai was average. While the location is convenient, and the rooms were clean, the service could have been more attentive. There were some delays in response times, and the staff at reception was too busy. It's a decent option for a short stay, but there's definitely room for improvement in overall guest experience."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,This Novotel’s a no-brainer
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Awesome stay
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Hotel is nice. All staff were courteous including in cafe, front desk, and  restaurant.
I surely recommend breakfast at hotel. 

I enjoyed quiet stay and large room."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"I and my husband had a stay in your hotel recently. On our way to your hotel I lost my mobile phone in a OLE car. I was there for a business meeting and had every details in my mobile of my clients. From you entrance security guards to your reception staff everyone was very helpful in every way. You really have the best team. 

Ms Sugandh and another staff from the reception i didn't get her name was very comforting and handle the situation so well and she recommended us to Mr Bhushan and was keep telling us he will try to help us find the phone.

Mr Bhushan went very far to find our mobile phone and made things so easy for us and he was well knowledge men and helpful men. We being not local and a tourist and not knowing anyone in the city it was very helpful of Bhushan and he and your team surely deserve the best appreciation. 

I was so stressed and went to your 2nd floor restaurant to have some food to make myself feel better. I meet this waiter I didn't get his name he made me feel so better by talking to me and telling me I will get the handphone back don't worry. And he recommended the best chicken biryani which i have never ate before in my life it was the best. As for the breakfast 2 guys were so helpful too and your restaurant does a good job by giving us good food and a big spread."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Rooms and towels were very clean, the staff was very friendly at breakfast and dinner.  We were traveling with 2 kids and the hotel was quite nice."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Very Polite staff well organised everythings gud hygiene
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Hotel room was big and clean. Bed was big and comfortable. Breakfast had a good spread.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"They gave me a room on the 10th floor and the 11th floor had party everyday and it was so noisy, when I called in, they said it will stop by 11.30pm and I'm able to sleep after that. Having visiting mumbai for business, I turn in to bed by 10pm so that I can start my day early. But suffered for 3nights there. Communicated it with the staff but all they had was just apologies and no solution. Party ends at 11.30pm. But then the cleaning starts upto 2/3am. Ridiculous how they manage all this."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,I had paid for three person in advance but they put towel and other things like toothbrush water bottles for only two person that is only problem otherwise it’s very good stay
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,I had issues wt my shower head . Water goes all over . Toiletries are not replenished although they. Lean the room . Bedsheets are old with tiny balls on the cover so it’s rough to your skin . Breakfast is good .
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Below par
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,My stay was very nice. Best place to visit in mumbai for stay and the hotel staff is so helpful and friendly They provide us a best service thank you . Happy to visit again.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Two day visit early June. Good points: excellent staff and service,  clean and nice room. Restaurant is good, the food variety is good though not enormous, probably more veg options than nonveg. 

To improve: small niggles in the room: bed not precisely alligned, bathroom door difficult to lock, safe having software error, toilet shower having too much pressure, flush water leaking a little.
Overall a good experience!!"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Room is spacious.
But overall lot of improvements can be done.
Reception staff was not well versed with the checkin process. Initially they have given me in too floor, then due to room door lock issue changed to another floor.
In that room as usual TV was having issue - but the operator came and did the repair and made okay, they were good in work. Toilet also wash area water was not flowing fast, somewhere some block was there.

Bed was cozy, so sleep was good.
Once you are checked in calling for maintenance and waiting for the repair all these are frustrating, better give a well condition room on the first place."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Lovely stay, lovely rooms"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"The room was spacious to accommodate three adults. 24/7 Cafe with a variety of affordable snacks.

Room service, cleanliness and hygiene was world class."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Had good experience to stay there
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"This is a brand new hotel and I am staying here for the 2nd time. Last time I stayed in room opposite the metro station  which was great, but for this stay my view was  not so good with hutments but with mountains far away … the rising sun was a treat to watch.  Everything is good except the gym which can be upgraded to include more equipment. My last review was for the gym too and nothing much has changed here from that review."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"The hotel is nearby a metro station just just within 1 mim walking. Their breakfast is good. The hotel is close to the airport around 2km distance. If taking a pre-paid taxi from the airport to the hotel is less than 300 Indian rupees. Really recommend this hotel to international visitors when staying in Mumbai, India.👍🏻👍🏻"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Nice food and nice room
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Awesome hotel. One of the best available in its price range. Clean and good facility and very friendly staff with great food and breakfast buffet.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Food for breakfast has wide selection. Very near the airport
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Nice location and nice staff
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,superb breakfast  nice  atmosphere good one.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Location is perfect near the airport. Room is spacious, clean and the bath is amazing. The service, the breakfast are one of the kind"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,One of the best stays around Mumbai International airport. The property is extremely well maintained & the staff is very professional and hospitable.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,It’s good clean and very close to airport. Just beware of food
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"great for location to the terminal , short ride, rooms are large and modern, and clean, 
ill say check in is not as straight forward or streamlines especially of you have multiple rooms under your name .."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,We had an excellent stay at the hotel. The staff members were very good and excellent services.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,Excellent Stay
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Decent hotel near Mumbai airport. Good food and courteous staff.

Please note that the check in time is 3PM and they will make you wait if you arrive a bit early. I was asked to wait over an hour in the lobby."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"I recently stayed at this property and had an excellent experience. The location was convenient, being close to the airport. The hotel was spotlessly clean and well-maintained. The staff were friendly, attentive, and provided exceptional service. The facilities were top-notch, offering everything I needed for a comfortable stay. Overall, it was great value for money and I highly recommend this property."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,The stay was good and comfortable. Not much variety in buffet but overall good value.
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"The stay was nice. Room was clean and so was the bathroom. 
The staff is good too. Reservation team needs to be more friendly."
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Very good service, staff are very cooperative. Nice hotel 👍🏽"
Mumbai,Novotel Mumbai International Airport,5 stars out of 5,"Located at close proximity to the airport, the hotel is a great option for those wanting a place near the airport.

The Novotel brand is one of my favourites all over the world, and this one maintains the standards as well. 

Excellent rooms with comfortable beds.

The staff was very helpful and welcoming. They ensuring I didn't have to wait for too long. Since it was a festive period they even offered sweets, which was a nice gesture. 

The hotel has all the facilities one needs. The breakfast buffet is top notch with plenty of options for all.

Overall, I can easily recommend this hotel if you are looking to stay in Andheri and close to the airport"
