Hotel Name,Rating,Review,sentence,sentiment_score_1,sentiment_score_2,sentiment_score_3,sentiment_score_4,sentiment_score_5,weighted_sentiment,classification_label
Zenith Hotel Putrajaya,5 stars out of 5,"ChatGPT

Log in
You said:
Tolong buat review untuk hotel in english
ChatGPT said:
Sure! Here's a general review template in English that you can customize based on your experience:

Hotel Review

I recently stayed at [Hotel Name], and overall, it was a [positive/negative/mixed] experience.

Location:
The hotel is located [mention location – e.g., in the heart of the city/close to tourist attractions/quiet and peaceful]. It was very convenient for [shopping, dining, sightseeing, etc.].

Room:
The room was [describe the room – clean, spacious, comfortable, etc.], with [mention any features like a good view, modern decor, air conditioning, etc.]. The bed was [comfortable/uncomfortable], and the bathroom was [clean/well-stocked/spacious].

Service:
The staff were [friendly/helpful/unfriendly]. They [mention any outstanding service – e.g., helped with luggage, provided directions, quick check-in/out].

Facilities:
The hotel offers [mention amenities like free Wi-Fi, pool, gym, restaurant, spa, etc.]. I especially liked [mention something specific you enjoyed].

Food:
The food was [delicious/average/disappointing], and the breakfast buffet had [good variety/limited choices]. The restaurant [mention service and quality].

Value for Money:
Overall, I felt the hotel was [worth the price/too expensive/great value for money] given the location and services.

Conclusion:
I would [recommend/not recommend] this hotel to others, especially for [type of travelers – families, business travelers, couples, etc.].

Let me know the specific details and I can tailor it for your hotel experience!

You said:

I recently stayed here for an event organize by my company. ocation:
The hotel is located in about 500 metres walking distance from the event. It was very convenient for sightseeing too. The room was clean, spacious & comfortable,  Bathroom with bathtub.. love it.overall i felt the hotel was great value for money. I would recommend this hotel to others, especially families & friends
ChatGPT said:
Great! Here's a polished version of your hotel review in English:

Hotel Review

I recently stayed here for an event organized by my company.

Location:
The hotel is located about 500 meters from the event venue, which made it very convenient. It’s also a great spot for sightseeing, with many attractions within walking distance.

Room:
The room was clean, spacious, and comfortable. I especially loved the bathroom, which came with a bathtub—a perfect way to relax after a long day.

Value for Money:
Overall, I felt the hotel offered great value for money considering the location, comfort, and facilities provided.

Conclusion:
I would definitely recommend this hotel to others, especially families and friends looking for a comfortable and convenient place to stay.","], with [mention any features like a good view, modern decor, air conditioning, etc",0.0665,0.0915,0.1817,0.3486,0.3117,3.7475,4f
Zenith Hotel Putrajaya,5 stars out of 5,"Awesome hotel services include personalized, luxurious, and convenient offerings such as 24/7 concierge, spa treatments, gourmet dining, smart room features, and unique guest experiences","Awesome hotel services include personalized, luxurious, and convenient offerings such as 24/7 concierge, spa treatments, gourmet dining, smart room features, and unique guest experiences",0.0011,0.001,0.0096,0.1634,0.825,4.8102,6b_1
Zenith Hotel Putrajaya,5 stars out of 5,"Awesome hotel services include personalized, luxurious, and convenient offerings such as 24/7 concierge, spa treatments, gourmet dining, smart room features, and unique guest experiences","Awesome hotel services include personalized, luxurious, and convenient offerings such as 24/7 concierge, spa treatments, gourmet dining, smart room features, and unique guest experiences",0.0011,0.001,0.0096,0.1634,0.825,4.8102,4i
Zenith Hotel Putrajaya,5 stars out of 5,"I am very grateful for my stay at Zenith Putrajaya.My empathy goes out to all persons who may have found faults with their stays but I had none.Firstly,I took it seriously when some said that their rooms were dusty,as I have a dust mite shit allergy and I can get sick from it.I did not get sick at all but I flourished.The complimentary breakfast food may not be the most creative but they had such a variety so that I was satisfied with what I picked and chose.(Please bear in mind that they have an alfresco area right beside the lake that allows you a beautifully relaxed breakfast,with additional food items like soup noodles, lemang,omelettes and roti canai stations.).As I could only come back from my work by 6.30pm,I would quickly rush to the swimming pool (which closes by 7 pm),before using the gym and sauna(which close at 10pm).I spent 5 nights here and I am all the better for it.My grateful thanks to the staff who work very hard.","30pm,I would quickly rush to the swimming pool (which closes by 7 pm),before using the gym and sauna(which close at 10pm)",0.2399,0.3106,0.2804,0.1206,0.0485,2.4272,6d_1
Zenith Hotel Putrajaya,5 stars out of 5,"tempat okay je cantik, bersih tp kalau ada shuttle lagi nice. time tu pergi masa sambut new year","tempat okay je cantik, bersih tp kalau ada shuttle lagi nice",0.0139,0.0673,0.4804,0.338,0.1004,3.4438,3c
Zenith Hotel Putrajaya,5 stars out of 5,"The scenery was awesome especially at night. However, room cleaning should be improved. There were still traces of food crumbs from previous customer, used cotton bud in the dustbin and partially blocked shower drainage.","There were still traces of food crumbs from previous customer, used cotton bud in the dustbin and partially blocked shower drainage",0.3708,0.3986,0.1745,0.0455,0.0107,1.9265,2e_1
Zenith Hotel Putrajaya,5 stars out of 5,"When I called them to confirm my booking I was told that the room is included with breakfast. After I checked in, they said it doesnt come with breakfast and we have to pay extra for it. I dont mind that part because there could be a misunderstanding between the staffs but still quite dissapointed. They forgot to remove the garbage when we checked in and the pillow smells like urine. Never coming here again 😕",They forgot to remove the garbage when we checked in and the pillow smells like urine,0.6615,0.2511,0.0655,0.0137,0.0081,1.4559,4e
Zenith Hotel Putrajaya,5 stars out of 5,Convenience and clean to cater our needs.,Convenience and clean to cater our needs,0.0025,0.0038,0.0531,0.4269,0.5137,4.4457,3d_1
Zenith Hotel Putrajaya,5 stars out of 5,"Overall it is ok to stay here. Hotel staff are all friendly.  My experience, I see with my own eye... The day I checked in , all goes well.  But the parking is a bit tight. Even when almost full. 

That  particular day was a full house.   There was no consideration to park in a hotel compound.  I have asked to the person in charge and also the guard ..  no consideration at all.  I am the guest in the hotel.  They ask to park outside at the parking lot I mean Out side the hotel compound.  This is not good. I have to hilight this. Please take not about this issue. What else I can do.",But the parking is a bit tight,0.0136,0.0991,0.5782,0.2873,0.0218,3.2045,4j
Zenith Hotel Putrajaya,5 stars out of 5,"Overall it is ok to stay here. Hotel staff are all friendly.  My experience, I see with my own eye... The day I checked in , all goes well.  But the parking is a bit tight. Even when almost full. 

That  particular day was a full house.   There was no consideration to park in a hotel compound.  I have asked to the person in charge and also the guard ..  no consideration at all.  I am the guest in the hotel.  They ask to park outside at the parking lot I mean Out side the hotel compound.  This is not good. I have to hilight this. Please take not about this issue. What else I can do.",They ask to park outside at the parking lot I mean Out side the hotel compound,0.3228,0.2843,0.2227,0.1081,0.062,2.3021,4j
Zenith Hotel Putrajaya,5 stars out of 5,"I had a wonderful experience at Zenith Putra Jaya. The service was excellent, the staff were friendly and attentive, and the overall atmosphere was comfortable and welcoming. The facilities are well-maintained, and everything felt clean and organized. The only downside was the parking lot—it can be a bit tight and limited during peak hours. That said, it’s a minor inconvenience compared to the overall quality of the place. Definitely worth a visit",The only downside was the parking lot—it can be a bit tight and limited during peak hours,0.0064,0.0426,0.3467,0.5673,0.037,3.5859,4j
Zenith Hotel Putrajaya,5 stars out of 5,"Room is excellent, and due to its location, its easy to go in and out, with allocated parking. 

I would recommend for travellers looking for a short stay with proximity to places they intent to go but still able to get that privacy and away from city noises.

Plus the views, offcourse.","Room is excellent, and due to its location, its easy to go in and out, with allocated parking",0.0016,0.0022,0.0203,0.2916,0.6844,4.6549,4j
Zenith Hotel Putrajaya,5 stars out of 5,Room are spacious. Im going for running event at dataran wawasan and it is so near the hotel. Near restoran nasi kandar. Good scenery of gov building.. Downside is the parking space im circle 3 times no parking space availble maybe can add more parking space.,Downside is the parking space im circle 3 times no parking space availble maybe can add more parking space,0.1886,0.3876,0.3677,0.0476,0.0086,2.3001,4j
Zenith Hotel Putrajaya,5 stars out of 5,"Stayed here for an office event because the hotel is very close to the venue. The food and room were very nice, but there was a problem with parking.","The food and room were very nice, but there was a problem with parking",0.0423,0.2486,0.5189,0.1789,0.0113,2.8682,4j
Zenith Hotel Putrajaya,5 stars out of 5,"Bilik ok. View cantik menghadap tasik.Lif hanya 3 berfungsi. Parking limited. Breakfast dikira mahal, dengan makanan yg kebanyakan terlalu masin dan x byk pilihan. Pembakar roti pon rosak.",Parking limited,0.2152,0.2739,0.3378,0.1216,0.0515,2.5202,4j
Zenith Hotel Putrajaya,5 stars out of 5,"Location is very romantic hehe . Top
Notch cleanliness . Smell nice . Everything is very nice . Have parking . Staff okay.. if u want to have a good time with yourself partner or family then thiss will be the hotel unlooking for . The view from the window is also nice ..",Have parking,0.1158,0.1092,0.2109,0.276,0.2881,3.5115,4j
Zenith Hotel Putrajaya,5 stars out of 5,"All I can say its everything is almost perfect during my staycation at this hotel 3D 2N with breakfast. Only my recommendation towards Zenith Hotel management is, it just will be nice to have bathrooms with lock. At least there'll be privacy for groups of family or friends to stay and have a nice shower without disturbance. A small improvements will help a lot. Looking forward to stay at Zenith Hotel in other times. TQ.",At least there'll be privacy for groups of family or friends to stay and have a nice shower without disturbance,0.0519,0.0974,0.2948,0.3774,0.1784,3.533,2e_1
Zenith Hotel Putrajaya,5 stars out of 5,"The view is very nice.
Near Masjid Putra.
Spacious & clean room.
Comfortable bed & pillow.",Comfortable bed & pillow,0.0087,0.0156,0.1248,0.4456,0.4052,4.2229,4e
Zenith Hotel Putrajaya,5 stars out of 5,"Staff yg sgt baik, ramah dan sentiasa membantu. Dr parking boleh terus ke bilik. Sgt safety. Masuk kereta guna tng. bilik yg sgt luas mmg berbaloi dgn harganya. Ade swimming pool. Dekat dgn masjid putra serta bazar ramadhan. Dah 2thn berturut2 di hotel ini.",Dr parking boleh terus ke bilik,0.0552,0.0767,0.2422,0.3511,0.2748,3.7137,4j
Zenith Hotel Putrajaya,5 stars out of 5,Room is spacious. Looks clean but quite dusty. Water drain stuck. Shower room flood. Air cond not cold. Got maintenance guy to fix but still not cold.,Shower room flood,0.3265,0.2643,0.2103,0.1149,0.0841,2.3657,2e_1
Zenith Hotel Putrajaya,5 stars out of 5,"all basic hotel things are good imo. they just need to check more on the cleanliness in the toilet (found a few strands of hair on the toilet floor) and the iron is not working well. the shower is confusing but thats probably just me being stupid. the breakfast is okay. basic. 

overall im quite satisfied",the shower is confusing but thats probably just me being stupid,0.1477,0.3638,0.4082,0.0712,0.009,2.4299,2e_1
Zenith Hotel Putrajaya,5 stars out of 5,"The hotel is not too packed and quite relaxing. However, the facilities are average, with the usual gym, swimming pool, sauna, and spa. That's all","However, the facilities are average, with the usual gym, swimming pool, sauna, and spa",0.0194,0.2215,0.6669,0.0869,0.0053,2.8372,6b_1
Zenith Hotel Putrajaya,5 stars out of 5,The staff was quite helpful in troubleshooting some air conditioning issue late at night. The receptionist was really friendly.,The staff was quite helpful in troubleshooting some air conditioning issue late at night,0.0082,0.0316,0.2373,0.5787,0.1443,3.8192,4f
Zenith Hotel Putrajaya,5 stars out of 5,"Had a short stay of one night due to an emergency situation at home. The accommodation itself was nice. No major issues except the provision for shower gel could have been better. One miserable tiny cheap bottle of shower gel did not cut it for a hotel with a nice view of the Putrajaya lake. The rickety chaise lounge needed some TLC too. But the biggest disappointment was the F & B. Food was terrible. Not tasty at all. But the restaurant had a very  nice view of the lake. This was a major let down. Imagine if you just want to enjoy the hotel and stay in or simply want to dine in. This is the place to avoid for the food. I ordered nasi goreng, alio oglio, seafood hor fun and chicken tenders with some chilli dip. Imagine - only the chicken tenders (which is finger food as straight from frozen packets) was OK. The chilli dip was good. That was it. The rest was tasteless and for that you need to pay close to RM450 for 4 pax meal. In my view, its not even worth RM50 of any customer's money. Thats an honest review. If the food improves by 200% or more, I would not repeat a stay. Even if I had to stay here, I will never set foot on the restaurant again. I really hope the restaurant improves so as not to let such a nice place go to waste.",No major issues except the provision for shower gel could have been better,0.0255,0.0984,0.4966,0.33,0.0495,3.2797,2e_1
