Hotel Name,Rating,Review,sentence,sentiment_score_1,sentiment_score_2,sentiment_score_3,sentiment_score_4,sentiment_score_5,weighted_sentiment,classification_label
Novotel Mumbai International Airport,5 stars out of 5,"Hotel is nice. All staff were courteous including in cafe, front desk, and  restaurant.
I surely recommend breakfast at hotel. 

I enjoyed quiet stay and large room.",I enjoyed quiet stay and large room,0.0048,0.0133,0.1472,0.62,0.2148,4.0268,4a
Novotel Mumbai International Airport,5 stars out of 5,I had issues wt my shower head . Water goes all over . Toiletries are not replenished although they. Lean the room . Bedsheets are old with tiny balls on the cover so it’s rough to your skin . Breakfast is good .,I had issues wt my shower head,0.2136,0.28,0.2994,0.1378,0.0693,2.5693,2e_1
Novotel Mumbai International Airport,5 stars out of 5,"Two day visit early June. Good points: excellent staff and service,  clean and nice room. Restaurant is good, the food variety is good though not enormous, probably more veg options than nonveg. 

To improve: small niggles in the room: bed not precisely alligned, bathroom door difficult to lock, safe having software error, toilet shower having too much pressure, flush water leaking a little.
Overall a good experience!!","To improve: small niggles in the room: bed not precisely alligned, bathroom door difficult to lock, safe having software error, toilet shower having too much pressure, flush water leaking a little",0.0585,0.388,0.5016,0.0478,0.0041,2.5512,2e_1
Novotel Mumbai International Airport,5 stars out of 5,"This is a brand new hotel and I am staying here for the 2nd time. Last time I stayed in room opposite the metro station  which was great, but for this stay my view was  not so good with hutments but with mountains far away … the rising sun was a treat to watch.  Everything is good except the gym which can be upgraded to include more equipment. My last review was for the gym too and nothing much has changed here from that review.",Everything is good except the gym which can be upgraded to include more equipment,0.0205,0.046,0.3083,0.5201,0.1052,3.6435,6d_1
Novotel Mumbai International Airport,5 stars out of 5,"This is a brand new hotel and I am staying here for the 2nd time. Last time I stayed in room opposite the metro station  which was great, but for this stay my view was  not so good with hutments but with mountains far away … the rising sun was a treat to watch.  Everything is good except the gym which can be upgraded to include more equipment. My last review was for the gym too and nothing much has changed here from that review.",My last review was for the gym too and nothing much has changed here from that review,0.137,0.1206,0.1455,0.2112,0.3856,3.5878,6d_1
Novotel Mumbai International Airport,5 stars out of 5,"The hotel is nearby a metro station just just within 1 mim walking. Their breakfast is good. The hotel is close to the airport around 2km distance. If taking a pre-paid taxi from the airport to the hotel is less than 300 Indian rupees. Really recommend this hotel to international visitors when staying in Mumbai, India.👍🏻👍🏻",If taking a pre-paid taxi from the airport to the hotel is less than 300 Indian rupees,0.4036,0.266,0.213,0.0736,0.0438,2.0879,3f
Novotel Mumbai International Airport,5 stars out of 5,We had a lovely experience at Novotel Mumbai. Very clean and staff very accommodating. We arrived a few hours before checkin due to our flight arrival time and the staff were very friendly and got our room ready and available earlier than checkin so we didn’t have  to hang about waiting for the room. Gym facilities were great and location was perfect as close to the airport and also easily accessible to other areas of Mumbai.,Gym facilities were great and location was perfect as close to the airport and also easily accessible to other areas of Mumbai,0.0051,0.0074,0.0329,0.259,0.6956,4.6327,6d_1
Novotel Mumbai International Airport,5 stars out of 5,"Hardly spent 2 full nights however checkin process was easy, app can unlock doors or access elevators was cool. Didn't much interact with housekeeping . Lobby staff and security were welcoming . A classy stay","Hardly spent 2 full nights however checkin process was easy, app can unlock doors or access elevators was cool",0.0579,0.251,0.4044,0.2374,0.0492,2.9691,2g_1
Novotel Mumbai International Airport,5 stars out of 5,Good location easy to approach public transportation. Clean and convenience hotel,Clean and convenience hotel,0.0046,0.0067,0.0582,0.3825,0.548,4.4628,3d_1
Novotel Mumbai International Airport,5 stars out of 5,Joshua was wonderful to give us the full support for our late flights and also taxi service to travel around. lovely rooftop bar too with nice waitress.,Joshua was wonderful to give us the full support for our late flights and also taxi service to travel around,0.0019,0.002,0.0214,0.2656,0.709,4.6779,3f
